Cell	Phase	Subpopulation
SRR13906574.bam	G1	3
SRR13906575.bam	G1	1
SRR13906576.bam	G1	1
SRR13906577.bam	G1	2
SRR13906578.bam	S	2
SRR13906579.bam	G1	3
SRR13906580.bam	G1	3
SRR13906581.bam	G1	1
SRR13906582.bam	G1	3
SRR13906583.bam	G1	1
SRR13906584.bam	G1	1
SRR13906585.bam	G1	2
SRR13906586.bam	G1	1
SRR13906587.bam	G1	1
SRR13906588.bam	G1	2
SRR13906589.bam	G1	2
SRR13906590.bam	G1	1
SRR13906591.bam	G1	1
SRR13906592.bam	G1	1
SRR13906593.bam	G1	1
SRR13906594.bam	G1	1
SRR13906595.bam	G1	3
SRR13906596.bam	G1	1
SRR13906597.bam	S	3
SRR13906598.bam	S	2
SRR13906599.bam	G1	1
SRR13906600.bam	G1	2
SRR13906601.bam	G1	2
SRR13906602.bam	S	1
SRR13906603.bam	G1	3
SRR13906604.bam	S	1
SRR13906605.bam	G1	1
SRR13906606.bam	G1	1
SRR13906607.bam	G1	2
SRR13906608.bam	S	2
SRR13906609.bam	G1	2
SRR13906610.bam	G1	2
SRR13906611.bam	S	1
SRR13906612.bam	S	2
SRR13906613.bam	S	1
SRR13906614.bam	G1	1
SRR13906615.bam	G1	3
SRR13906616.bam	G1	1
SRR13906617.bam	G1	1
SRR13906619.bam	G1	1
SRR13906620.bam	G1	2
SRR13906621.bam	G1	1
SRR13906622.bam	S	3
SRR13906623.bam	G1	1
SRR13906624.bam	G1	3
SRR13906625.bam	G1	1
SRR13906626.bam	S	3
SRR13906627.bam	G1	1
SRR13906628.bam	G1	3
SRR13906629.bam	G1	3
SRR13906630.bam	G1	2
SRR13906631.bam	G1	3
SRR13906632.bam	G1	1
SRR13906633.bam	G1	2
SRR13906635.bam	G1	1
SRR13906636.bam	G1	1
SRR13906637.bam	G1	1
SRR13906638.bam	S	2
SRR13906639.bam	G1	1
SRR13906640.bam	G1	1
SRR13906641.bam	G1	3
SRR13906642.bam	G1	1
SRR13906643.bam	G1	1
SRR13906644.bam	G1	1
SRR13906645.bam	G1	1
SRR13906646.bam	G1	1
SRR13906647.bam	S	2
SRR13906648.bam	S	1
SRR13906649.bam	G1	1
SRR13906650.bam	G1	1
SRR13906651.bam	G1	1
SRR13906652.bam	G1	1
SRR13906653.bam	G1	1
SRR13906654.bam	S	2
SRR13906655.bam	G1	2
SRR13906656.bam	G1	3
SRR13906657.bam	G1	2
SRR13906658.bam	G1	1
SRR13906659.bam	G1	3
SRR13906660.bam	S	1
SRR13906661.bam	G1	1
SRR13906662.bam	G1	1
SRR13906663.bam	S	1
SRR13906664.bam	G1	1
SRR13906665.bam	S	1
SRR13906667.bam	G1	1
SRR13906668.bam	S	1
SRR13906669.bam	G1	1
SRR13906670.bam	G1	1
SRR13906671.bam	G1	3
SRR13906672.bam	S	3
SRR13906674.bam	G1	1
SRR13906675.bam	G1	3
SRR13906676.bam	S	3
SRR13906677.bam	G1	1
SRR13906678.bam	G1	1
SRR13906679.bam	G1	2
SRR13906680.bam	G1	1
SRR13906681.bam	G1	1
SRR13906682.bam	S	1
SRR13906683.bam	G1	1
SRR13906684.bam	G1	1
SRR13906685.bam	S	2
SRR13906686.bam	G1	1
SRR13906687.bam	G1	1
SRR13906688.bam	G1	1
SRR13906689.bam	G1	1
SRR13906690.bam	G1	1
SRR13906691.bam	G1	1
SRR13906692.bam	G1	2
SRR13906693.bam	G1	1
SRR13906694.bam	G1	3
SRR13906695.bam	G1	1
SRR13906697.bam	G1	2
SRR13906698.bam	G1	3
SRR13906699.bam	G1	1
SRR13906700.bam	G1	1
SRR13906701.bam	G1	3
SRR13906703.bam	G1	1
SRR13906704.bam	S	2
SRR13906705.bam	G1	1
SRR13906706.bam	G1	2
SRR13906707.bam	G1	2
SRR13906708.bam	G1	1
SRR13906710.bam	G1	2
SRR13906711.bam	G1	2
SRR13906712.bam	G1	3
SRR13906713.bam	S	2
SRR13906714.bam	G1	1
SRR13906715.bam	S	3
SRR13906716.bam	G1	3
SRR13906717.bam	G1	1
SRR13906718.bam	S	3
SRR13906719.bam	G1	1
SRR13906720.bam	G1	2
SRR13906721.bam	G1	3
SRR13906722.bam	S	3
SRR13906724.bam	G1	2
SRR13906726.bam	G1	1
SRR13906728.bam	G1	3
SRR13906729.bam	S	2
SRR13906730.bam	G1	2
SRR13906731.bam	G1	1
SRR13906733.bam	G1	3
SRR13906734.bam	G1	1
SRR13906735.bam	G1	1
SRR13906736.bam	G1	1
SRR13906737.bam	G1	3
SRR13906738.bam	S	1
SRR13906739.bam	G1	1
SRR13906740.bam	S	2
SRR13906741.bam	G1	1
SRR13906742.bam	G1	2
SRR13906743.bam	G1	2
SRR13906744.bam	G1	2
SRR13906745.bam	G1	2
SRR13906747.bam	G1	2
SRR13906748.bam	G1	2
SRR13906749.bam	G1	3
SRR13906750.bam	G1	2
SRR13906751.bam	S	3
SRR13906752.bam	G1	2
SRR13906753.bam	S	2
SRR13906754.bam	G1	1
SRR13906755.bam	G1	2
SRR13906756.bam	S	3
SRR13906757.bam	S	1
SRR13906758.bam	G1	3
SRR13906760.bam	G1	1
SRR13906762.bam	G1	1
SRR13906763.bam	G1	2
SRR13906764.bam	G1	2
SRR13906765.bam	G1	3
SRR13906766.bam	G1	1
SRR13906767.bam	G1	2
SRR13906768.bam	S	1
SRR13906769.bam	G1	2
SRR13906770.bam	G1	1
SRR13906771.bam	S	3
SRR13906772.bam	G1	1
SRR13906773.bam	G1	3
SRR13906774.bam	G1	1
SRR13906775.bam	G1	3
SRR13906776.bam	G1	3
SRR13906777.bam	G1	1
SRR13906778.bam	G1	2
SRR13906779.bam	S	1
SRR13906780.bam	G1	1
SRR13906781.bam	G1	2
SRR13906782.bam	G1	1
SRR13906783.bam	G1	2
SRR13906784.bam	G1	2
SRR13906785.bam	G1	1
SRR13906786.bam	S	1
SRR13906787.bam	G1	3
SRR13906788.bam	G1	1
SRR13906789.bam	G1	1
SRR13906790.bam	G1	3
SRR13906791.bam	G1	1
SRR13906792.bam	G1	1
SRR13906793.bam	G1	1
SRR13906795.bam	G1	1
SRR13906796.bam	G1	1
SRR13906797.bam	G1	1
SRR13906798.bam	G1	2
SRR13906799.bam	S	1
SRR13906800.bam	G1	3
SRR13906801.bam	G1	3
SRR13906802.bam	G1	3
SRR13906803.bam	G1	1
SRR13906804.bam	G1	3
SRR13906805.bam	G1	3
SRR13906807.bam	G1	1
SRR13906808.bam	G1	1
SRR13906809.bam	G1	1
SRR13906810.bam	G1	1
SRR13906811.bam	G1	1
SRR13906813.bam	G1	2
SRR13906814.bam	G1	3
SRR13906815.bam	G1	3
SRR13906816.bam	G1	1
