Cell	Phase
SA1087-A96150A-R14-C68.bam	G1
SA1087-A96150A-R14-C69.bam	G1
SA1087-A96150A-R14-C70.bam	G1
SA1087-A96150A-R15-C07.bam	G1
SA1087-A96150A-R15-C08.bam	G1
SA1087-A96150A-R15-C09.bam	G1
SA1087-A96150A-R15-C12.bam	S
SA1087-A96150A-R15-C13.bam	G1
SA1087-A96150A-R15-C14.bam	G1
SA1087-A96150A-R15-C15.bam	S
SA1087-A96150A-R15-C16.bam	G1
SA1087-A96150A-R15-C17.bam	S
SA1087-A96150A-R15-C18.bam	G1
SA1087-A96150A-R15-C19.bam	G1
SA1087-A96150A-R15-C20.bam	G1
SA1087-A96150A-R15-C21.bam	G1
SA1087-A96150A-R15-C23.bam	S
SA1087-A96150A-R15-C24.bam	G1
SA1087-A96150A-R15-C25.bam	G1
SA1087-A96150A-R15-C26.bam	G1
SA1087-A96150A-R15-C27.bam	G1
SA1087-A96150A-R15-C28.bam	G1
SA1087-A96150A-R15-C29.bam	G1
SA1087-A96150A-R15-C30.bam	G1
SA1087-A96150A-R15-C31.bam	G1
SA1087-A96150A-R15-C32.bam	G1
SA1087-A96150A-R15-C34.bam	G1
SA1087-A96150A-R15-C35.bam	G1
SA1087-A96150A-R15-C36.bam	G1
SA1087-A96150A-R15-C37.bam	G1
SA1087-A96150A-R15-C40.bam	G1
SA1087-A96150A-R15-C41.bam	S
SA1087-A96150A-R15-C42.bam	G1
SA1087-A96150A-R15-C43.bam	G1
SA1087-A96150A-R15-C44.bam	S
SA1087-A96150A-R15-C46.bam	G1
SA1087-A96150A-R15-C47.bam	S
SA1087-A96150A-R15-C49.bam	G1
SA1087-A96150A-R15-C50.bam	G1
SA1087-A96150A-R15-C51.bam	S
SA1087-A96150A-R15-C55.bam	G1
SA1087-A96150A-R15-C56.bam	G1
SA1087-A96150A-R15-C57.bam	G1
SA1087-A96150A-R15-C60.bam	G1
SA1087-A96150A-R15-C61.bam	S
SA1087-A96150A-R15-C63.bam	G1
SA1087-A96150A-R15-C64.bam	G1
SA1087-A96150A-R15-C66.bam	G1
SA1087-A96150A-R15-C68.bam	G1
SA1087-A96150A-R16-C07.bam	G1
SA1087-A96150A-R16-C08.bam	S
SA1087-A96150A-R16-C09.bam	G1
SA1087-A96150A-R16-C12.bam	G1
SA1087-A96150A-R16-C15.bam	G1
SA1087-A96150A-R16-C16.bam	S
SA1087-A96150A-R16-C17.bam	G1
SA1087-A96150A-R16-C18.bam	G1
SA1087-A96150A-R16-C19.bam	S
SA1087-A96150A-R16-C20.bam	G1
SA1087-A96150A-R16-C21.bam	G1
SA1087-A96150A-R16-C22.bam	G1
SA1087-A96150A-R16-C23.bam	S
SA1087-A96150A-R16-C24.bam	G1
SA1087-A96150A-R16-C25.bam	G1
SA1087-A96150A-R16-C26.bam	G1
SA1087-A96150A-R16-C27.bam	G1
SA1087-A96150A-R16-C28.bam	G1
SA1087-A96150A-R16-C29.bam	G1
SA1087-A96150A-R16-C30.bam	G1
SA1087-A96150A-R16-C31.bam	G1
SA1087-A96150A-R16-C32.bam	G1
SA1087-A96150A-R16-C35.bam	G1
SA1087-A96150A-R16-C36.bam	G1
SA1087-A96150A-R16-C39.bam	G1
SA1087-A96150A-R16-C40.bam	G1
SA1087-A96150A-R16-C41.bam	G1
SA1087-A96150A-R16-C56.bam	G1
SA1087-A96150A-R16-C57.bam	G1
SA1087-A96150A-R17-C07.bam	G1
SA1087-A96150A-R17-C08.bam	G1
SA1087-A96150A-R17-C13.bam	G1
SA1087-A96150A-R17-C14.bam	G1
SA1087-A96150A-R17-C15.bam	G1
SA1087-A96150A-R17-C16.bam	G1
SA1087-A96150A-R17-C17.bam	G1
SA1087-A96150A-R17-C18.bam	G1
SA1087-A96150A-R17-C20.bam	G1
SA1087-A96150A-R17-C22.bam	G1
SA1087-A96150A-R17-C23.bam	G1
SA1087-A96150A-R17-C24.bam	G1
SA1087-A96150A-R17-C25.bam	S
SA1087-A96150A-R17-C26.bam	S
SA1087-A96150A-R17-C27.bam	G1
SA1087-A96150A-R17-C29.bam	G1
SA1087-A96150A-R17-C30.bam	G1
SA1087-A96150A-R17-C32.bam	S
SA1087-A96150A-R17-C35.bam	G1
SA1087-A96150A-R17-C36.bam	G1
SA1087-A96150A-R17-C39.bam	G1
SA1087-A96150A-R17-C42.bam	G1
SA1087-A96150A-R18-C07.bam	G1
SA1087-A96150A-R18-C09.bam	S
SA1087-A96150A-R18-C12.bam	G1
SA1087-A96150A-R18-C13.bam	S
SA1087-A96150A-R18-C14.bam	G1
SA1087-A96150A-R18-C15.bam	G1
SA1087-A96150A-R18-C16.bam	S
SA1087-A96150A-R18-C17.bam	S
SA1087-A96150A-R18-C18.bam	G1
SA1087-A96150A-R18-C19.bam	S
SA1087-A96150A-R18-C20.bam	S
SA1087-A96150A-R18-C21.bam	G1
SA1087-A96150A-R18-C22.bam	G1
SA1087-A96150A-R18-C24.bam	G1
SA1087-A96150A-R18-C25.bam	S
SA1087-A96150A-R18-C26.bam	G1
SA1087-A96150A-R18-C28.bam	G1
SA1087-A96150A-R18-C29.bam	G1
SA1087-A96150A-R18-C30.bam	G1
SA1087-A96150A-R18-C31.bam	G1
SA1087-A96150A-R18-C32.bam	G1
SA1087-A96150A-R18-C35.bam	G1
SA1087-A96150A-R18-C40.bam	G1
SA1087-A96150A-R18-C46.bam	G1
SA1087-A96150A-R18-C66.bam	G1
SA1087-A96150A-R18-C67.bam	G1
