Cell	Subpopulation
SA039-A96199B-R46-C37	1
SA039-A96199B-R46-C38	1
SA039-A96199B-R46-C41	1
SA039-A96199B-R46-C42	1
SA039-A96199B-R46-C46	1
SA039-A96199B-R46-C47	1
SA039-A96199B-R46-C50	1
SA039-A96199B-R46-C52	1
SA039-A96199B-R46-C59	1
SA039-A96199B-R46-C63	1
SA039-A96199B-R46-C64	1
SA039-A96199B-R47-C07	1
SA039-A96199B-R47-C08	1
SA039-A96199B-R47-C09	1
SA039-A96199B-R47-C12	1
SA039-A96199B-R47-C14	1
SA039-A96199B-R47-C17	1
SA039-A96199B-R47-C19	1
SA039-A96199B-R47-C20	1
SA039-A96199B-R47-C25	1
SA039-A96199B-R47-C26	1
SA039-A96199B-R47-C27	1
SA039-A96199B-R47-C29	1
SA039-A96199B-R47-C30	1
SA039-A96199B-R47-C34	1
SA039-A96199B-R47-C35	1
SA039-A96199B-R47-C37	1
SA039-A96199B-R47-C40	1
SA039-A96199B-R47-C41	1
SA039-A96199B-R47-C42	1
SA039-A96199B-R47-C46	1
SA039-A96199B-R47-C47	1
SA039-A96199B-R47-C49	1
SA039-A96199B-R47-C50	1
SA039-A96199B-R47-C51	1
SA039-A96199B-R47-C53	1
SA039-A96199B-R47-C54	1
SA039-A96199B-R47-C55	1
SA039-A96199B-R47-C57	1
SA039-A96199B-R47-C59	1
SA039-A96199B-R47-C61	1
SA039-A96199B-R47-C62	1
SA039-A96199B-R47-C64	2
SA039-A96199B-R48-C10	1
SA039-A96199B-R48-C11	1
SA039-A96199B-R48-C13	1
SA039-A96199B-R48-C15	1
SA039-A96199B-R48-C16	1
SA039-A96199B-R48-C18	1
SA039-A96199B-R48-C20	1
SA039-A96199B-R48-C21	1
SA039-A96199B-R48-C22	1
SA039-A96199B-R48-C24	1
SA039-A96199B-R48-C25	1
SA039-A96199B-R48-C26	1
SA039-A96199B-R48-C28	1
SA039-A96199B-R48-C29	1
SA039-A96199B-R48-C30	1
SA039-A96199B-R48-C32	1
SA039-A96199B-R48-C38	1
SA039-A96199B-R48-C40	1
SA039-A96199B-R48-C44	1
SA039-A96199B-R48-C46	1
SA039-A96199B-R48-C47	1
SA039-A96199B-R48-C48	1
SA039-A96199B-R48-C52	1
SA039-A96199B-R48-C53	1
SA039-A96199B-R48-C54	1
SA039-A96199B-R48-C55	1
SA039-A96199B-R48-C56	1
SA039-A96199B-R48-C57	1
SA039-A96199B-R48-C60	1
SA039-A96199B-R48-C61	1
SA039-A96199B-R48-C63	1
SA039-A96199B-R48-C65	1
SA039-A96199B-R49-C07	1
SA039-A96199B-R49-C09	1
SA039-A96199B-R49-C11	1
SA039-A96199B-R49-C12	1
SA039-A96199B-R49-C13	1
SA039-A96199B-R49-C14	1
SA039-A96199B-R49-C15	1
SA039-A96199B-R49-C18	1
SA039-A96199B-R49-C19	1
SA039-A96199B-R49-C20	1
SA039-A96199B-R49-C21	1
SA039-A96199B-R49-C22	1
SA039-A96199B-R49-C24	1
SA039-A96199B-R49-C26	1
SA039-A96199B-R49-C27	1
SA039-A96199B-R49-C29	1
SA039-A96199B-R49-C30	1
SA039-A96199B-R49-C31	1
SA039-A96199B-R49-C32	1
SA039-A96199B-R49-C37	1
SA039-A96199B-R49-C40	1
SA039-A96199B-R49-C41	1
SA039-A96199B-R49-C44	1
SA039-A96199B-R49-C46	1
SA039-A96199B-R49-C51	1
SA039-A96199B-R49-C52	1
SA039-A96199B-R49-C54	1
SA039-A96199B-R49-C57	1
SA039-A96199B-R49-C59	1
SA039-A96199B-R49-C60	1
SA039-A96199B-R49-C62	1
SA039-A96199B-R49-C63	1
SA039-A96199B-R49-C64	1
SA039-A96199B-R49-C65	1
SA039-A96199B-R49-C66	1
SA039-A96199B-R49-C67	1
SA039-A96199B-R49-C69	1
SA039-A96199B-R50-C08	1
SA039-A96199B-R50-C10	1
SA039-A96199B-R50-C15	1
SA039-A96199B-R50-C18	1
SA039-A96199B-R50-C19	1
