Cell	Phase	Subpopulation
SA1044-A96139A-R23-C48.bam	G1	2
SA1044-A96139A-R23-C50.bam	S	1
SA1044-A96139A-R23-C52.bam	G1	1
SA1044-A96139A-R24-C14.bam	G1	1
SA1044-A96139A-R24-C28.bam	S	1
SA1044-A96139A-R24-C29.bam	S	1
SA1044-A96139A-R24-C30.bam	S	1
SA1044-A96139A-R24-C39.bam	S	1
SA1044-A96139A-R24-C43.bam	S	1
SA1044-A96139A-R24-C46.bam	G1	1
SA1044-A96139A-R24-C47.bam	G1	1
SA1044-A96139A-R25-C08.bam	G1	1
SA1044-A96139A-R25-C13.bam	G1	1
SA1044-A96139A-R25-C21.bam	G1	1
SA1044-A96139A-R25-C24.bam	G1	1
SA1044-A96139A-R25-C26.bam	S	1
SA1044-A96139A-R25-C27.bam	S	1
SA1044-A96139A-R25-C31.bam	S	1
SA1044-A96139A-R25-C33.bam	S	1
SA1044-A96139A-R26-C11.bam	S	1
SA1044-A96139A-R26-C15.bam	G1	1
SA1044-A96139A-R26-C17.bam	G1	1
SA1044-A96139A-R26-C25.bam	S	1
SA1044-A96139A-R26-C28.bam	G1	1
SA1044-A96139A-R26-C29.bam	S	1
SA1044-A96139A-R26-C30.bam	S	1
SA1044-A96139A-R26-C31.bam	S	1
SA1044-A96139A-R26-C34.bam	S	1
SA1044-A96139A-R27-C24.bam	S	1
SA1044-A96139A-R27-C30.bam	S	1
SA1044-A96139A-R27-C31.bam	S	1
SA1044-A96139A-R27-C34.bam	G1	1
SA1044-A96139A-R27-C40.bam	G1	1
SA1044-A96139A-R27-C43.bam	G1	1
SA1044-A96139A-R27-C46.bam	G1	1
SA1044-A96139A-R27-C49.bam	G1	1
