Cell	Phase	Subpopulation
SRR13909915.bam	S	1
SRR13909917.bam	G1	1
SRR13909918.bam	S	1
SRR13909919.bam	S	1
SRR13909920.bam	S	1
SRR13909921.bam	G1	1
SRR13909924.bam	S	1
SRR13909925.bam	S	1
SRR13909926.bam	S	1
SRR13909928.bam	S	1
SRR13909929.bam	S	1
SRR13909930.bam	G1	1
SRR13909931.bam	S	1
SRR13909932.bam	G1	1
SRR13909933.bam	S	1
SRR13909936.bam	S	1
SRR13909937.bam	S	1
SRR13909938.bam	S	1
SRR13909940.bam	S	1
SRR13909941.bam	S	1
SRR13909942.bam	S	1
SRR13909943.bam	S	1
SRR13909944.bam	S	1
SRR13909945.bam	S	1
SRR13909946.bam	S	1
SRR13909947.bam	S	1
SRR13909948.bam	G1	1
SRR13909949.bam	S	1
SRR13909950.bam	S	1
SRR13909953.bam	S	1
SRR13909954.bam	G1	1
SRR13909955.bam	G1	1
SRR13909957.bam	S	1
SRR13909959.bam	S	1
SRR13909960.bam	S	1
SRR13909961.bam	S	1
SRR13909962.bam	S	1
SRR13909964.bam	G1	1
SRR13909966.bam	G1	1
SRR13909968.bam	S	1
SRR13909969.bam	S	1
SRR13909970.bam	S	1
SRR13909971.bam	S	1
SRR13909972.bam	G1	1
SRR13909973.bam	G1	1
SRR13909974.bam	G1	1
SRR13909975.bam	S	1
SRR13909976.bam	G1	2
SRR13909978.bam	S	1
SRR13909979.bam	G1	2
SRR13909980.bam	G1	4
SRR13909981.bam	G1	2
SRR13909982.bam	G1	2
SRR13909983.bam	G1	2
SRR13909984.bam	S	1
SRR13909985.bam	G1	4
SRR13909986.bam	G1	2
SRR13909987.bam	G1	2
SRR13909988.bam	G1	2
SRR13909990.bam	S	4
SRR13909991.bam	S	2
SRR13909992.bam	G1	2
SRR13909993.bam	S	2
SRR13909994.bam	G1	4
SRR13909996.bam	G1	2
SRR13909997.bam	S	4
SRR13909998.bam	S	2
SRR13909999.bam	G1	3
SRR13910000.bam	G1	2
SRR13910001.bam	G1	2
SRR13910002.bam	G1	4
SRR13910003.bam	G1	2
SRR13910005.bam	G1	2
SRR13910007.bam	G1	2
SRR13910008.bam	G1	4
SRR13910009.bam	G1	2
SRR13910010.bam	G1	4
SRR13910011.bam	S	1
SRR13910012.bam	G1	2
SRR13910013.bam	S	2
SRR13910014.bam	G1	2
SRR13910015.bam	G1	4
SRR13910016.bam	G1	4
SRR13910017.bam	S	2
SRR13910019.bam	G1	2
SRR13910021.bam	S	4
SRR13910022.bam	G1	2
