Cell	Phase
SA532X4XB00273-A95732B-R37-C69.bam	G1
SA532X4XB00273-A95732B-R37-C70.bam	G1
SA532X4XB00273-A95732B-R38-C08.bam	G1
SA532X4XB00273-A95732B-R38-C09.bam	G1
SA532X4XB00273-A95732B-R38-C10.bam	G1
SA532X4XB00273-A95732B-R38-C12.bam	S
SA532X4XB00273-A95732B-R38-C14.bam	G1
SA532X4XB00273-A95732B-R38-C15.bam	G1
SA532X4XB00273-A95732B-R38-C20.bam	G1
SA532X4XB00273-A95732B-R38-C23.bam	G1
SA532X4XB00273-A95732B-R38-C24.bam	G1
SA532X4XB00273-A95732B-R38-C25.bam	G1
SA532X4XB00273-A95732B-R38-C27.bam	G1
SA532X4XB00273-A95732B-R38-C28.bam	G1
SA532X4XB00273-A95732B-R38-C32.bam	G1
SA532X4XB00273-A95732B-R38-C33.bam	G1
SA532X4XB00273-A95732B-R38-C35.bam	G1
SA532X4XB00273-A95732B-R38-C38.bam	G1
SA532X4XB00273-A95732B-R38-C40.bam	G1
SA532X4XB00273-A95732B-R38-C43.bam	G1
SA532X4XB00273-A95732B-R38-C44.bam	G1
SA532X4XB00273-A95732B-R38-C46.bam	G1
SA532X4XB00273-A95732B-R38-C47.bam	G1
SA532X4XB00273-A95732B-R38-C48.bam	G1
SA532X4XB00273-A95732B-R38-C49.bam	G1
SA532X4XB00273-A95732B-R38-C51.bam	G1
SA532X4XB00273-A95732B-R38-C54.bam	G1
SA532X4XB00273-A95732B-R38-C59.bam	G1
SA532X4XB00273-A95732B-R38-C61.bam	G1
SA532X4XB00273-A95732B-R38-C63.bam	G1
SA532X4XB00273-A95732B-R38-C64.bam	G1
SA532X4XB00273-A95732B-R38-C66.bam	G1
SA532X4XB00273-A95732B-R38-C67.bam	G1
SA532X4XB00273-A95732B-R38-C69.bam	G1
SA532X4XB00273-A95732B-R39-C09.bam	G1
SA532X4XB00273-A95732B-R39-C11.bam	G1
SA532X4XB00273-A95732B-R39-C14.bam	G1
SA532X4XB00273-A95732B-R39-C15.bam	S
SA532X4XB00273-A95732B-R39-C16.bam	S
SA532X4XB00273-A95732B-R39-C17.bam	G1
SA532X4XB00273-A95732B-R39-C19.bam	G1
SA532X4XB00273-A95732B-R39-C21.bam	G1
SA532X4XB00273-A95732B-R39-C22.bam	G1
SA532X4XB00273-A95732B-R39-C23.bam	G1
SA532X4XB00273-A95732B-R39-C24.bam	G1
SA532X4XB00273-A95732B-R39-C26.bam	G1
SA532X4XB00273-A95732B-R39-C28.bam	G1
SA532X4XB00273-A95732B-R39-C29.bam	G1
SA532X4XB00273-A95732B-R39-C30.bam	G1
SA532X4XB00273-A95732B-R39-C31.bam	G1
SA532X4XB00273-A95732B-R39-C35.bam	G1
SA532X4XB00273-A95732B-R39-C37.bam	G1
SA532X4XB00273-A95732B-R39-C38.bam	G1
SA532X4XB00273-A95732B-R39-C40.bam	G1
SA532X4XB00273-A95732B-R39-C41.bam	G1
SA532X4XB00273-A95732B-R39-C42.bam	G1
SA532X4XB00273-A95732B-R39-C43.bam	G1
SA532X4XB00273-A95732B-R39-C44.bam	G1
SA532X4XB00273-A95732B-R39-C46.bam	G1
SA532X4XB00273-A95732B-R39-C51.bam	G1
SA532X4XB00273-A95732B-R39-C54.bam	G1
SA532X4XB00273-A95732B-R39-C55.bam	G1
SA532X4XB00273-A95732B-R39-C57.bam	G1
SA532X4XB00273-A95732B-R39-C60.bam	G1
SA532X4XB00273-A95732B-R39-C63.bam	G1
SA532X4XB00273-A95732B-R39-C64.bam	G1
SA532X4XB00273-A95732B-R39-C66.bam	G1
SA532X4XB00273-A95732B-R39-C67.bam	S
SA532X4XB00273-A95732B-R39-C68.bam	G1
