Cell	Phase
SA906-A73046B-R46-C70.bam	S
SA906-A73046B-R47-C04.bam	G1
SA906-A73046B-R47-C07.bam	G1
SA906-A73046B-R47-C08.bam	G1
SA906-A73046B-R47-C09.bam	S
SA906-A73046B-R47-C10.bam	S
SA906-A73046B-R47-C11.bam	G1
SA906-A73046B-R47-C12.bam	S
SA906-A73046B-R47-C14.bam	G1
SA906-A73046B-R47-C15.bam	G1
SA906-A73046B-R47-C18.bam	S
SA906-A73046B-R47-C19.bam	G1
SA906-A73046B-R47-C20.bam	S
SA906-A73046B-R47-C22.bam	S
SA906-A73046B-R47-C23.bam	G1
SA906-A73046B-R47-C24.bam	S
SA906-A73046B-R47-C25.bam	S
SA906-A73046B-R47-C26.bam	S
SA906-A73046B-R47-C27.bam	S
SA906-A73046B-R47-C28.bam	G1
SA906-A73046B-R47-C29.bam	G1
SA906-A73046B-R47-C30.bam	S
SA906-A73046B-R47-C31.bam	G1
SA906-A73046B-R47-C34.bam	G1
SA906-A73046B-R47-C35.bam	S
SA906-A73046B-R47-C37.bam	G1
SA906-A73046B-R47-C38.bam	G1
SA906-A73046B-R47-C40.bam	S
SA906-A73046B-R47-C41.bam	S
SA906-A73046B-R47-C42.bam	G1
SA906-A73046B-R47-C43.bam	S
SA906-A73046B-R47-C46.bam	G1
SA906-A73046B-R47-C48.bam	G1
SA906-A73046B-R47-C51.bam	S
SA906-A73046B-R47-C52.bam	S
SA906-A73046B-R47-C53.bam	S
SA906-A73046B-R47-C54.bam	G1
SA906-A73046B-R47-C55.bam	G1
SA906-A73046B-R47-C56.bam	G1
SA906-A73046B-R47-C57.bam	S
SA906-A73046B-R47-C60.bam	G1
SA906-A73046B-R47-C61.bam	G1
SA906-A73046B-R47-C63.bam	G1
SA906-A73046B-R47-C64.bam	G1
SA906-A73046B-R47-C66.bam	S
SA906-A73046B-R47-C67.bam	G1
SA906-A73046B-R47-C68.bam	G1
SA906-A73046B-R48-C04.bam	G1
SA906-A73046B-R48-C07.bam	G1
SA906-A73046B-R48-C09.bam	G1
SA906-A73046B-R48-C11.bam	S
SA906-A73046B-R48-C12.bam	S
SA906-A73046B-R48-C16.bam	G1
SA906-A73046B-R48-C17.bam	G1
SA906-A73046B-R48-C18.bam	S
SA906-A73046B-R48-C19.bam	S
SA906-A73046B-R48-C20.bam	G1
SA906-A73046B-R48-C21.bam	G1
SA906-A73046B-R48-C22.bam	G1
SA906-A73046B-R48-C23.bam	S
SA906-A73046B-R48-C25.bam	G1
SA906-A73046B-R48-C26.bam	G1
SA906-A73046B-R48-C27.bam	G1
SA906-A73046B-R48-C28.bam	G1
SA906-A73046B-R48-C35.bam	S
SA906-A73046B-R48-C37.bam	S
SA906-A73046B-R48-C39.bam	S
SA906-A73046B-R48-C40.bam	G1
SA906-A73046B-R48-C42.bam	G1
SA906-A73046B-R48-C43.bam	S
SA906-A73046B-R48-C44.bam	S
SA906-A73046B-R48-C46.bam	S
SA906-A73046B-R48-C52.bam	G1
SA906-A73046B-R48-C55.bam	G1
SA906-A73046B-R48-C57.bam	G1
SA906-A73046B-R48-C59.bam	G1
SA906-A73046B-R48-C60.bam	G1
SA906-A73046B-R48-C61.bam	G1
SA906-A73046B-R48-C66.bam	S
SA906-A73046B-R48-C67.bam	G1
SA906-A73046B-R48-C68.bam	G1
SA906-A73046B-R49-C07.bam	G1
SA906-A73046B-R49-C08.bam	G1
SA906-A73046B-R49-C09.bam	S
SA906-A73046B-R49-C11.bam	S
SA906-A73046B-R49-C12.bam	G1
SA906-A73046B-R49-C13.bam	G1
SA906-A73046B-R49-C14.bam	G1
SA906-A73046B-R49-C15.bam	S
SA906-A73046B-R49-C17.bam	S
SA906-A73046B-R49-C18.bam	G1
SA906-A73046B-R49-C20.bam	S
SA906-A73046B-R49-C21.bam	G1
SA906-A73046B-R49-C22.bam	G1
SA906-A73046B-R49-C24.bam	G1
SA906-A73046B-R49-C25.bam	S
SA906-A73046B-R49-C26.bam	G1
SA906-A73046B-R49-C27.bam	S
SA906-A73046B-R49-C28.bam	G1
SA906-A73046B-R49-C29.bam	G1
SA906-A73046B-R49-C30.bam	G1
SA906-A73046B-R49-C31.bam	G1
SA906-A73046B-R49-C34.bam	G1
SA906-A73046B-R49-C35.bam	G1
SA906-A73046B-R49-C37.bam	G1
SA906-A73046B-R49-C38.bam	G1
SA906-A73046B-R49-C39.bam	S
SA906-A73046B-R49-C40.bam	S
SA906-A73046B-R49-C41.bam	G1
SA906-A73046B-R49-C42.bam	G1
SA906-A73046B-R49-C43.bam	G1
SA906-A73046B-R49-C44.bam	G1
SA906-A73046B-R49-C45.bam	S
SA906-A73046B-R49-C46.bam	S
SA906-A73046B-R49-C47.bam	G1
SA906-A73046B-R49-C51.bam	S
SA906-A73046B-R49-C52.bam	S
SA906-A73046B-R49-C54.bam	G1
SA906-A73046B-R49-C55.bam	G1
SA906-A73046B-R49-C57.bam	G1
SA906-A73046B-R49-C59.bam	G1
SA906-A73046B-R49-C61.bam	S
SA906-A73046B-R49-C63.bam	G1
SA906-A73046B-R49-C64.bam	G1
SA906-A73046B-R49-C67.bam	G1
SA906-A73046B-R50-C04.bam	G1
SA906-A73046B-R50-C08.bam	G1
SA906-A73046B-R50-C09.bam	S
SA906-A73046B-R50-C10.bam	S
SA906-A73046B-R50-C11.bam	G1
SA906-A73046B-R50-C13.bam	G1
SA906-A73046B-R50-C14.bam	S
SA906-A73046B-R50-C15.bam	G1
SA906-A73046B-R50-C16.bam	G1
