Cell	Phase
SA928-A73044A-R13-C67.bam	S
SA928-A73044A-R13-C68.bam	S
SA928-A73044A-R13-C70.bam	S
SA928-A73044A-R14-C03.bam	G1
SA928-A73044A-R14-C05.bam	G1
SA928-A73044A-R14-C06.bam	S
SA928-A73044A-R14-C07.bam	G1
SA928-A73044A-R14-C08.bam	G1
SA928-A73044A-R14-C09.bam	G1
SA928-A73044A-R14-C10.bam	G1
SA928-A73044A-R14-C11.bam	G1
SA928-A73044A-R14-C12.bam	G1
SA928-A73044A-R14-C13.bam	G1
SA928-A73044A-R14-C14.bam	G1
SA928-A73044A-R14-C16.bam	S
SA928-A73044A-R14-C17.bam	G1
SA928-A73044A-R14-C18.bam	G1
SA928-A73044A-R14-C19.bam	G1
SA928-A73044A-R14-C21.bam	G1
SA928-A73044A-R14-C22.bam	G1
SA928-A73044A-R14-C24.bam	G1
SA928-A73044A-R14-C25.bam	G1
SA928-A73044A-R14-C26.bam	G1
SA928-A73044A-R14-C27.bam	S
SA928-A73044A-R14-C28.bam	G1
SA928-A73044A-R14-C29.bam	G1
SA928-A73044A-R14-C30.bam	G1
SA928-A73044A-R14-C35.bam	G1
SA928-A73044A-R14-C37.bam	G1
SA928-A73044A-R14-C40.bam	S
SA928-A73044A-R14-C41.bam	S
SA928-A73044A-R14-C42.bam	S
SA928-A73044A-R14-C43.bam	S
SA928-A73044A-R14-C44.bam	S
SA928-A73044A-R14-C45.bam	S
SA928-A73044A-R14-C48.bam	S
SA928-A73044A-R14-C49.bam	S
SA928-A73044A-R14-C50.bam	S
SA928-A73044A-R14-C51.bam	S
SA928-A73044A-R14-C52.bam	S
SA928-A73044A-R14-C59.bam	G1
SA928-A73044A-R14-C61.bam	S
SA928-A73044A-R14-C66.bam	G1
SA928-A73044A-R14-C67.bam	S
SA928-A73044A-R14-C68.bam	G1
SA928-A73044A-R14-C69.bam	G1
SA928-A73044A-R15-C03.bam	G1
SA928-A73044A-R15-C06.bam	G1
SA928-A73044A-R15-C07.bam	G1
SA928-A73044A-R15-C08.bam	G1
SA928-A73044A-R15-C09.bam	G1
SA928-A73044A-R15-C10.bam	G1
SA928-A73044A-R15-C11.bam	G1
SA928-A73044A-R15-C12.bam	G1
SA928-A73044A-R15-C13.bam	G1
SA928-A73044A-R15-C14.bam	G1
SA928-A73044A-R15-C15.bam	G1
SA928-A73044A-R15-C16.bam	G1
SA928-A73044A-R15-C17.bam	G1
SA928-A73044A-R15-C18.bam	G1
SA928-A73044A-R15-C19.bam	G1
SA928-A73044A-R15-C22.bam	G1
SA928-A73044A-R15-C24.bam	G1
SA928-A73044A-R15-C25.bam	G1
SA928-A73044A-R15-C26.bam	G1
SA928-A73044A-R15-C27.bam	G1
SA928-A73044A-R15-C28.bam	S
SA928-A73044A-R15-C29.bam	G1
SA928-A73044A-R15-C33.bam	G1
SA928-A73044A-R15-C34.bam	G1
SA928-A73044A-R15-C35.bam	G1
SA928-A73044A-R15-C37.bam	G1
SA928-A73044A-R15-C41.bam	S
SA928-A73044A-R15-C42.bam	S
SA928-A73044A-R15-C43.bam	S
SA928-A73044A-R15-C44.bam	S
SA928-A73044A-R15-C45.bam	S
SA928-A73044A-R15-C48.bam	S
SA928-A73044A-R15-C49.bam	S
SA928-A73044A-R15-C50.bam	S
SA928-A73044A-R15-C51.bam	S
SA928-A73044A-R15-C52.bam	S
SA928-A73044A-R15-C56.bam	S
SA928-A73044A-R15-C57.bam	G1
SA928-A73044A-R15-C61.bam	S
SA928-A73044A-R15-C64.bam	G1
SA928-A73044A-R15-C65.bam	S
SA928-A73044A-R15-C66.bam	G1
SA928-A73044A-R15-C67.bam	G1
SA928-A73044A-R15-C68.bam	G1
SA928-A73044A-R15-C69.bam	G1
SA928-A73044A-R15-C70.bam	G1
SA928-A73044A-R16-C03.bam	G1
SA928-A73044A-R16-C05.bam	G1
SA928-A73044A-R16-C06.bam	G1
SA928-A73044A-R16-C07.bam	G1
SA928-A73044A-R16-C08.bam	G1
SA928-A73044A-R16-C09.bam	G1
SA928-A73044A-R16-C10.bam	S
SA928-A73044A-R16-C11.bam	G1
SA928-A73044A-R16-C12.bam	G1
SA928-A73044A-R16-C13.bam	G1
SA928-A73044A-R16-C14.bam	G1
SA928-A73044A-R16-C16.bam	G1
SA928-A73044A-R16-C17.bam	G1
SA928-A73044A-R16-C18.bam	S
SA928-A73044A-R16-C19.bam	G1
SA928-A73044A-R16-C22.bam	G1
SA928-A73044A-R16-C25.bam	G1
SA928-A73044A-R16-C26.bam	G1
SA928-A73044A-R16-C27.bam	G1
SA928-A73044A-R16-C28.bam	G1
SA928-A73044A-R16-C29.bam	G1
SA928-A73044A-R16-C30.bam	G1
SA928-A73044A-R16-C32.bam	G1
SA928-A73044A-R16-C34.bam	G1
SA928-A73044A-R16-C35.bam	G1
SA928-A73044A-R16-C37.bam	G1
SA928-A73044A-R16-C40.bam	S
SA928-A73044A-R16-C41.bam	S
SA928-A73044A-R16-C42.bam	S
SA928-A73044A-R16-C43.bam	S
SA928-A73044A-R16-C44.bam	S
SA928-A73044A-R16-C45.bam	S
SA928-A73044A-R16-C48.bam	S
SA928-A73044A-R16-C49.bam	S
SA928-A73044A-R16-C50.bam	S
SA928-A73044A-R16-C51.bam	S
SA928-A73044A-R16-C52.bam	S
SA928-A73044A-R16-C56.bam	G1
SA928-A73044A-R16-C58.bam	S
SA928-A73044A-R16-C59.bam	G1
SA928-A73044A-R16-C60.bam	S
SA928-A73044A-R16-C66.bam	G1
SA928-A73044A-R16-C67.bam	G1
SA928-A73044A-R16-C68.bam	G1
SA928-A73044A-R16-C69.bam	G1
SA928-A73044A-R16-C70.bam	G1
SA928-A73044A-R17-C03.bam	G1
SA928-A73044A-R17-C05.bam	G1
SA928-A73044A-R17-C06.bam	G1
SA928-A73044A-R17-C07.bam	G1
SA928-A73044A-R17-C08.bam	G1
SA928-A73044A-R17-C09.bam	G1
SA928-A73044A-R17-C10.bam	G1
SA928-A73044A-R17-C11.bam	G1
SA928-A73044A-R17-C12.bam	G1
SA928-A73044A-R17-C13.bam	G1
SA928-A73044A-R17-C14.bam	G1
SA928-A73044A-R17-C16.bam	G1
SA928-A73044A-R17-C17.bam	G1
SA928-A73044A-R17-C18.bam	S
SA928-A73044A-R17-C19.bam	G1
SA928-A73044A-R17-C21.bam	G1
SA928-A73044A-R17-C22.bam	G1
SA928-A73044A-R17-C24.bam	G1
SA928-A73044A-R17-C25.bam	G1
SA928-A73044A-R17-C26.bam	G1
SA928-A73044A-R17-C27.bam	G1
SA928-A73044A-R17-C28.bam	G1
SA928-A73044A-R17-C29.bam	G1
SA928-A73044A-R17-C30.bam	G1
SA928-A73044A-R17-C32.bam	S
SA928-A73044A-R17-C35.bam	G1
SA928-A73044A-R17-C37.bam	G1
SA928-A73044A-R17-C40.bam	S
SA928-A73044A-R17-C42.bam	S
SA928-A73044A-R17-C43.bam	S
SA928-A73044A-R17-C44.bam	S
SA928-A73044A-R17-C45.bam	G1
SA928-A73044A-R17-C48.bam	S
SA928-A73044A-R17-C49.bam	S
SA928-A73044A-R17-C50.bam	S
SA928-A73044A-R17-C51.bam	S
SA928-A73044A-R17-C52.bam	S
SA928-A73044A-R17-C56.bam	G1
SA928-A73044A-R17-C58.bam	S
SA928-A73044A-R17-C59.bam	G1
SA928-A73044A-R17-C60.bam	G1
SA928-A73044A-R17-C66.bam	G1
SA928-A73044A-R17-C69.bam	G1
SA928-A73044A-R18-C03.bam	G1
SA928-A73044A-R18-C04.bam	G1
SA928-A73044A-R18-C05.bam	G1
SA928-A73044A-R18-C06.bam	G1
SA928-A73044A-R18-C07.bam	S
SA928-A73044A-R18-C08.bam	G1
SA928-A73044A-R18-C09.bam	G1
SA928-A73044A-R18-C10.bam	G1
SA928-A73044A-R18-C11.bam	G1
SA928-A73044A-R18-C12.bam	G1
SA928-A73044A-R18-C13.bam	G1
SA928-A73044A-R18-C14.bam	G1
SA928-A73044A-R18-C16.bam	G1
SA928-A73044A-R18-C17.bam	G1
SA928-A73044A-R18-C18.bam	G1
SA928-A73044A-R18-C19.bam	G1
SA928-A73044A-R18-C21.bam	G1
SA928-A73044A-R18-C22.bam	G1
SA928-A73044A-R18-C24.bam	S
