Cell	Subpopulation
SA906-A96210C-R56-C14	1
SA906-A96210C-R56-C17	1
SA906-A96210C-R56-C19	1
SA906-A96210C-R56-C25	1
SA906-A96210C-R56-C27	1
SA906-A96210C-R56-C29	1
SA906-A96210C-R56-C30	1
SA906-A96210C-R56-C34	1
SA906-A96210C-R56-C36	1
SA906-A96210C-R56-C39	1
SA906-A96210C-R56-C42	1
SA906-A96210C-R56-C45	1
SA906-A96210C-R56-C46	1
SA906-A96210C-R56-C48	1
SA906-A96210C-R56-C49	1
SA906-A96210C-R56-C50	1
SA906-A96210C-R56-C51	1
SA906-A96210C-R56-C55	1
SA906-A96210C-R56-C56	1
SA906-A96210C-R56-C57	1
SA906-A96210C-R56-C59	1
SA906-A96210C-R56-C60	1
SA906-A96210C-R56-C62	1
SA906-A96210C-R56-C63	1
SA906-A96210C-R56-C64	1
SA906-A96210C-R56-C68	1
SA906-A96210C-R56-C69	1
SA906-A96210C-R57-C23	1
SA906-A96210C-R57-C27	1
SA906-A96210C-R57-C33	1
SA906-A96210C-R57-C34	1
SA906-A96210C-R57-C36	1
SA906-A96210C-R57-C45	1
SA906-A96210C-R57-C46	1
SA906-A96210C-R57-C47	1
SA906-A96210C-R57-C50	1
SA906-A96210C-R57-C52	1
SA906-A96210C-R57-C53	1
SA906-A96210C-R57-C54	1
SA906-A96210C-R57-C55	1
SA906-A96210C-R57-C62	1
SA906-A96210C-R57-C63	1
SA906-A96210C-R57-C67	1
SA906-A96210C-R57-C68	1
SA906-A96210C-R58-C07	1
SA906-A96210C-R58-C08	1
SA906-A96210C-R58-C12	1
SA906-A96210C-R58-C14	1
SA906-A96210C-R58-C15	1
SA906-A96210C-R58-C16	1
SA906-A96210C-R58-C20	1
SA906-A96210C-R58-C21	1
SA906-A96210C-R58-C22	1
SA906-A96210C-R58-C23	1
SA906-A96210C-R58-C27	1
SA906-A96210C-R58-C29	1
SA906-A96210C-R58-C30	1
SA906-A96210C-R58-C31	1
SA906-A96210C-R58-C32	1
SA906-A96210C-R58-C34	1
SA906-A96210C-R58-C35	1
SA906-A96210C-R58-C38	1
SA906-A96210C-R58-C42	1
SA906-A96210C-R58-C44	1
SA906-A96210C-R58-C47	1
SA906-A96210C-R58-C50	1
SA906-A96210C-R58-C51	1
SA906-A96210C-R58-C52	1
SA906-A96210C-R58-C53	1
SA906-A96210C-R58-C55	1
SA906-A96210C-R58-C61	1
SA906-A96210C-R58-C62	1
SA906-A96210C-R58-C63	1
SA906-A96210C-R58-C66	1
SA906-A96210C-R58-C68	1
SA906-A96210C-R58-C69	1
SA906-A96210C-R58-C70	1
SA906-A96210C-R59-C18	1
SA906-A96210C-R59-C21	1
SA906-A96210C-R59-C22	1
