Cell	Subpopulation
SA921-A90554A-R15-C08	2
SA921-A90554A-R15-C10	2
SA921-A90554A-R15-C11	2
SA921-A90554A-R15-C12	3
SA921-A90554A-R15-C20	2
SA921-A90554A-R15-C21	3
SA921-A90554A-R15-C22	3
SA921-A90554A-R15-C24	2
SA921-A90554A-R15-C25	3
SA921-A90554A-R15-C27	2
SA921-A90554A-R15-C32	2
SA921-A90554A-R15-C33	2
SA921-A90554A-R15-C36	2
SA921-A90554A-R15-C40	3
SA921-A90554A-R15-C42	3
SA921-A90554A-R15-C44	3
SA921-A90554A-R15-C48	3
SA921-A90554A-R15-C51	2
SA921-A90554A-R15-C64	2
SA921-A90554A-R15-C65	3
SA921-A90554A-R15-C66	3
SA921-A90554A-R15-C68	2
SA921-A90554A-R15-C69	3
SA922-A90554B-R23-C26	4
SA922-A90554B-R23-C30	4
SA922-A90554B-R23-C36	4
SA922-A90554B-R23-C37	4
SA922-A90554B-R23-C43	4
SA922-A90554B-R23-C44	4
SA922-A90554B-R23-C48	4
SA922-A90554B-R23-C59	4
SA922-A90554B-R23-C60	4
SA922-A90554B-R24-C09	4
SA922-A90554B-R24-C12	4
SA922-A90554B-R24-C19	4
SA922-A90554B-R24-C20	4
SA922-A90554B-R24-C21	4
SA922-A90554B-R24-C22	4
SA922-A90554B-R24-C24	4
SA922-A90554B-R24-C28	4
SA922-A90554B-R24-C32	4
SA922-A90554B-R24-C40	4
SA922-A90554B-R24-C41	4
SA922-A90554B-R24-C67	4
SA922-A90554B-R24-C68	4
SA922-A90554B-R25-C10	4
SA922-A90554B-R25-C12	4
SA922-A90554B-R25-C22	4
SA922-A90554B-R25-C41	4
SA922-A90554B-R25-C43	4
SA922-A90554B-R25-C49	4
SA922-A90554B-R25-C52	4
SA922-A90554B-R25-C62	4
SA922-A90554B-R25-C65	4
SA922-A90554B-R25-C68	4
SA922-A90554B-R25-C70	4
SA922-A90554B-R26-C07	4
SA922-A90554B-R26-C08	4
SA922-A90554B-R26-C10	4
SA922-A90554B-R26-C11	4
SA922-A90554B-R26-C22	4
SA922-A90554B-R26-C24	4
SA922-A90554B-R26-C41	4
SA922-A90554B-R26-C43	4
SA922-A90554B-R26-C45	4
SA922-A90554B-R26-C50	4
SA922-A90554B-R26-C58	4
SA922-A90554B-R26-C60	4
SA922-A90554B-R26-C66	4
SA922-A90554B-R26-C67	4
SA922-A90554B-R27-C18	4
SA922-A90554B-R27-C21	4
SA922-A90554B-R27-C29	4
SA922-A90554B-R27-C40	4
SA922-A90554B-R27-C41	4
SA922-A90554B-R27-C48	4
SA922-A90554B-R27-C57	4
SA922-A90554B-R27-C58	4
SA922-A90554B-R27-C59	4
SA922-A90554B-R27-C69	4
SA922-A90554B-R27-C70	4
SA922-A90554B-R28-C07	4
SA922-A90554B-R28-C12	4
SA922-A90554B-R28-C18	4
SA922-A90554B-R28-C19	4
SA922-A90554B-R28-C24	4
SA922-A90554B-R28-C38	4
SA922-A90554B-R28-C56	4
SA922-A90554B-R29-C25	4
SA922-A90554B-R29-C26	4
SA922-A90554B-R29-C43	4
SA922-A90554B-R29-C44	4
SA922-A90554B-R29-C51	4
SA922-A90554B-R29-C56	4
SA922-A90554B-R29-C61	4
SA922-A90554B-R29-C64	4
SA922-A90554B-R29-C68	4
SA922-A90554B-R30-C09	4
SA922-A90554B-R30-C12	4
SA922-A90554B-R30-C22	4
SA922-A90554B-R30-C24	4
SA922-A90554B-R30-C25	4
SA922-A90554B-R30-C28	4
SA922-A90554B-R30-C29	4
SA922-A90554B-R30-C32	4
SA922-A90554B-R30-C42	4
SA922-A90554B-R30-C43	4
SA922-A90554B-R30-C45	4
SA922-A90554B-R30-C51	4
SA922-A90554B-R30-C60	4
SA922-A90554B-R30-C64	4
SA922-A90554B-R30-C66	4
SA922-A90554B-R30-C70	4
SA922-A90554B-R31-C18	4
SA922-A90554B-R31-C19	4
SA922-A90554B-R31-C20	4
SA922-A90554B-R31-C29	4
SA922-A90554B-R31-C30	4
SA922-A90554B-R31-C36	4
SA922-A90554B-R31-C43	4
SA922-A90554B-R31-C45	4
SA922-A90554B-R31-C51	4
SA922-A90554B-R31-C52	4
SA922-A90554B-R31-C70	4
SA922-A90554B-R32-C10	4
SA922-A90554B-R32-C11	4
SA922-A90554B-R32-C12	4
SA922-A90554B-R32-C16	4
SA922-A90554B-R32-C34	4
SA922-A90554B-R32-C35	4
SA922-A90554B-R32-C41	4
SA922-A90554B-R33-C27	4
SA922-A90554B-R33-C30	4
SA922-A90554B-R33-C35	4
SA922-A90554B-R33-C37	4
SA922-A90554B-R33-C38	4
SA922-A90554B-R33-C44	4
SA922-A90554B-R33-C45	4
SA922-A90554B-R33-C51	4
SA922-A90554B-R33-C56	4
SA922-A90554B-R33-C69	4
SA922-A90554B-R34-C16	4
SA922-A90554B-R34-C20	4
SA922-A90554B-R34-C21	4
SA922-A90554B-R34-C26	4
SA922-A90554B-R34-C32	4
SA922-A90554B-R34-C42	4
SA922-A90554B-R34-C58	4
SA922-A90554B-R34-C69	4
SA922-A90554B-R35-C08	4
SA922-A90554B-R35-C14	4
SA922-A90554B-R35-C19	4
SA922-A90554B-R35-C21	4
SA922-A90554B-R35-C28	4
SA922-A90554B-R35-C34	4
SA922-A90554B-R35-C35	4
SA922-A90554B-R35-C36	4
SA922-A90554B-R35-C37	4
SA922-A90554B-R35-C49	4
SA922-A90554B-R35-C60	4
SA922-A90554B-R35-C69	4
