Cell	Phase	Subpopulation
SA1101-A96193B-R34-C36.bam	S	1
SA1101-A96193B-R34-C37.bam	G1	1
SA1101-A96193B-R34-C39.bam	S	1
SA1101-A96193B-R34-C40.bam	G1	2
SA1101-A96193B-R34-C41.bam	G1	2
SA1101-A96193B-R34-C44.bam	S	1
SA1101-A96193B-R34-C46.bam	S	1
SA1101-A96193B-R34-C47.bam	G1	2
SA1101-A96193B-R34-C48.bam	S	1
SA1101-A96193B-R34-C49.bam	G1	1
SA1101-A96193B-R34-C50.bam	G1	1
SA1101-A96193B-R34-C51.bam	G1	2
SA1101-A96193B-R34-C52.bam	G1	1
SA1101-A96193B-R34-C54.bam	G1	1
SA1101-A96193B-R34-C56.bam	G1	1
SA1101-A96193B-R34-C59.bam	G1	1
SA1101-A96193B-R34-C60.bam	G1	1
SA1101-A96193B-R34-C61.bam	G1	2
SA1101-A96193B-R34-C62.bam	S	1
SA1101-A96193B-R34-C63.bam	S	2
SA1101-A96193B-R34-C64.bam	S	1
SA1101-A96193B-R34-C66.bam	G1	2
SA1101-A96193B-R35-C07.bam	G1	2
SA1101-A96193B-R35-C09.bam	S	1
SA1101-A96193B-R35-C10.bam	S	1
SA1101-A96193B-R35-C11.bam	S	1
SA1101-A96193B-R35-C12.bam	S	1
SA1101-A96193B-R35-C13.bam	G1	2
SA1101-A96193B-R35-C14.bam	G1	1
SA1101-A96193B-R35-C15.bam	S	1
SA1101-A96193B-R35-C16.bam	S	1
SA1101-A96193B-R35-C17.bam	G1	1
SA1101-A96193B-R35-C18.bam	S	1
SA1101-A96193B-R35-C20.bam	G1	2
SA1101-A96193B-R35-C21.bam	G1	1
SA1101-A96193B-R35-C22.bam	G1	1
SA1101-A96193B-R35-C23.bam	G1	1
SA1101-A96193B-R35-C24.bam	G1	2
SA1101-A96193B-R35-C25.bam	G1	1
SA1101-A96193B-R35-C26.bam	G1	2
SA1101-A96193B-R35-C27.bam	S	1
SA1101-A96193B-R35-C28.bam	G1	1
SA1101-A96193B-R35-C29.bam	S	1
SA1101-A96193B-R35-C31.bam	G1	1
SA1101-A96193B-R35-C32.bam	S	1
SA1101-A96193B-R35-C34.bam	S	1
SA1101-A96193B-R35-C35.bam	G1	1
SA1101-A96193B-R35-C36.bam	S	1
SA1101-A96193B-R35-C37.bam	G1	1
SA1101-A96193B-R35-C38.bam	S	1
SA1101-A96193B-R35-C39.bam	G1	2
SA1101-A96193B-R35-C40.bam	S	1
SA1101-A96193B-R35-C41.bam	G1	1
SA1101-A96193B-R35-C43.bam	G1	2
SA1101-A96193B-R35-C44.bam	S	1
SA1101-A96193B-R35-C46.bam	G1	2
SA1101-A96193B-R35-C47.bam	S	1
SA1101-A96193B-R35-C48.bam	S	1
SA1101-A96193B-R35-C49.bam	G1	2
SA1101-A96193B-R35-C50.bam	G1	2
SA1101-A96193B-R35-C56.bam	S	1
SA1101-A96193B-R35-C58.bam	G1	1
SA1101-A96193B-R35-C60.bam	S	1
SA1101-A96193B-R35-C61.bam	G1	1
SA1101-A96193B-R35-C62.bam	S	1
SA1101-A96193B-R35-C63.bam	G1	2
SA1101-A96193B-R35-C64.bam	G1	2
SA1101-A96193B-R35-C66.bam	G1	1
SA1101-A96193B-R36-C07.bam	S	1
SA1101-A96193B-R36-C08.bam	S	2
SA1101-A96193B-R36-C09.bam	G1	1
SA1101-A96193B-R36-C11.bam	G1	1
SA1101-A96193B-R36-C14.bam	S	1
SA1101-A96193B-R36-C15.bam	G1	1
SA1101-A96193B-R36-C16.bam	G1	2
SA1101-A96193B-R36-C17.bam	G1	2
SA1101-A96193B-R36-C18.bam	G1	1
SA1101-A96193B-R36-C25.bam	G1	1
SA1101-A96193B-R36-C27.bam	G1	1
SA1101-A96193B-R36-C30.bam	G1	1
SA1101-A96193B-R36-C31.bam	S	1
SA1101-A96193B-R36-C32.bam	G1	1
SA1101-A96193B-R36-C35.bam	G1	1
SA1101-A96193B-R36-C40.bam	S	1
SA1101-A96193B-R36-C41.bam	G1	1
SA1101-A96193B-R36-C42.bam	G1	1
SA1101-A96193B-R36-C44.bam	G1	1
SA1101-A96193B-R36-C49.bam	G1	1
SA1101-A96193B-R36-C50.bam	G1	1
SA1101-A96193B-R36-C52.bam	S	1
SA1101-A96193B-R36-C54.bam	S	1
SA1101-A96193B-R36-C55.bam	S	1
SA1101-A96193B-R36-C57.bam	G1	1
SA1101-A96193B-R36-C58.bam	G1	1
SA1101-A96193B-R36-C60.bam	G1	1
SA1101-A96193B-R36-C61.bam	S	1
SA1101-A96193B-R36-C62.bam	S	1
SA1101-A96193B-R36-C63.bam	G1	1
SA1101-A96193B-R36-C64.bam	G1	1
